chapter,paragraph,sentence,text,tokens,token_count,tokens_str
CHAPTER VII,44,2,"That she should have walked three miles so early in the day in such dirty weather, and by herself, was almost incredible to Mrs. Hurst and Miss Bingley; and Elizabeth was convinced that they held her in contempt for it.","['walked', 'three', 'mile', 'early', 'day', 'dirty', 'weather', 'almost', 'incredible', 'hurst', 'miss', 'bingley', 'elizabeth', 'convinced', 'held', 'contempt']",16,walked three mile early day dirty weather almost incredible hurst miss bingley elizabeth convinced held contempt
CHAPTER VII,44,3,"She was received, however, very politely by them; and in their brother’s manners there was something better than politeness--there was good-humour and kindness.","['received', 'however', 'politely', 'brother', 'manner', 'something', 'better', 'politeness', 'kindness']",9,received however politely brother manner something better politeness kindness
CHAPTER VII,44,4,"Mr. Darcy said very little, and Mr. Hurst nothing at all.","['darcy', 'said', 'little', 'hurst', 'nothing']",5,darcy said little hurst nothing
CHAPTER VII,44,5,The former was divided between admiration of the brilliancy which exercise had given to her complexion and doubt as to the occasion’s justifying her coming so far alone.,"['former', 'divided', 'admiration', 'brilliancy', 'exercise', 'given', 'complexion', 'doubt', 'occasion', 'justifying', 'coming', 'far', 'alone']",13,former divided admiration brilliancy exercise given complexion doubt occasion justifying coming far alone
CHAPTER VII,44,6,The latter was thinking only of his breakfast.,"['latter', 'thinking', 'breakfast']",3,latter thinking breakfast
CHAPTER VII,45,1,Her inquiries after her sister were not very favourably answered.,"['inquiry', 'sister', 'favourably', 'answered']",4,inquiry sister favourably answered
CHAPTER VII,45,2,"Miss Bennet had slept ill, and though up, was very feverish, and not well enough to leave her room.","['miss', 'bennet', 'slept', 'ill', 'though', 'feverish', 'well', 'enough', 'leave', 'room']",10,miss bennet slept ill though feverish well enough leave room
CHAPTER VII,45,3,"Elizabeth was glad to be taken to her immediately; and Jane, who had only been withheld by the fear of giving alarm or inconvenience, from expressing in her note how much she longed for such a visit, was delighted at her entrance.","['elizabeth', 'glad', 'taken', 'immediately', 'jane', 'withheld', 'fear', 'giving', 'alarm', 'inconvenience', 'expressing', 'note', 'much', 'longed', 'visit', 'delighted', 'entrance']",17,elizabeth glad taken immediately jane withheld fear giving alarm inconvenience expressing note much longed visit delighted entrance
CHAPTER VII,45,4,"She was not equal, however, to much conversation; and when Miss Bingley left them together, could attempt little beside expressions of gratitude for the extraordinary kindness she was treated with.","['equal', 'however', 'much', 'conversation', 'miss', 'bingley', 'left', 'together', 'could', 'attempt', 'little', 'beside', 'expression', 'gratitude', 'extraordinary', 'kindness', 'treated']",17,equal however much conversation miss bingley left together could attempt little beside expression gratitude extraordinary kindness treated
CHAPTER VII,45,5,Elizabeth silently attended her.,"['elizabeth', 'silently', 'attended']",3,elizabeth silently attended
CHAPTER VII,46,1,"When breakfast was over, they were joined by the sisters; and Elizabeth began to like them herself, when she saw how much affection and solicitude they showed for Jane.","['breakfast', 'joined', 'sister', 'elizabeth', 'began', 'like', 'saw', 'much', 'affection', 'solicitude', 'showed', 'jane']",12,breakfast joined sister elizabeth began like saw much affection solicitude showed jane
CHAPTER VII,46,2,"The apothecary came; and having examined his patient, said, as might be supposed, that she had caught a violent cold, and that they must endeavour to get the better of it; advised her to return to bed, and promised her some draughts.","['apothecary', 'came', 'examined', 'patient', 'said', 'might', 'supposed', 'caught', 'violent', 'cold', 'must', 'endeavour', 'get', 'better', 'advised', 'return', 'bed', 'promised', 'draught']",19,apothecary came examined patient said might supposed caught violent cold must endeavour get better advised return bed promised draught
CHAPTER VII,46,3,"The advice was followed readily, for the feverish symptoms increased, and her head ached acutely.","['advice', 'followed', 'readily', 'feverish', 'symptom', 'increased', 'head', 'ached', 'acutely']",9,advice followed readily feverish symptom increased head ached acutely
